edge,r2,x,f_kan,f_cubic
1,0.998,-0.1468,-0.01536,-0.01628
1,0.998,-0.1358,-0.01627,-0.01716
1,0.998,-0.1248,-0.01721,-0.01807
1,0.998,-0.1139,-0.01818,-0.01899
1,0.998,-0.1029,-0.01916,-0.01992
1,0.998,-0.0919,-0.02016,-0.02087
1,0.998,-0.081,-0.02118,-0.02183
1,0.998,-0.07,-0.02222,-0.02279
1,0.998,-0.0591,-0.02326,-0.02377
1,0.998,-0.0481,-0.02432,-0.02475
1,0.998,-0.0371,-0.02538,-0.02574
1,0.998,-0.0262,-0.02645,-0.02673
1,0.998,-0.0152,-0.02753,-0.02772
1,0.998,-0.0042,-0.0286,-0.02871
1,0.998,0.0067,-0.02968,-0.0297
1,0.998,0.0177,-0.03075,-0.03068
1,0.998,0.0287,-0.03182,-0.03167
1,0.998,0.0396,-0.03288,-0.03264
1,0.998,0.0506,-0.03393,-0.03361
1,0.998,0.0616,-0.03496,-0.03457
1,0.998,0.0725,-0.03599,-0.03552
1,0.998,0.0835,-0.03699,-0.03645
1,0.998,0.0945,-0.03798,-0.03738
1,0.998,0.1054,-0.03895,-0.03828
1,0.998,0.1164,-0.0399,-0.03917
1,0.998,0.1274,-0.04082,-0.04005
1,0.998,0.1383,-0.04171,-0.0409
1,0.998,0.1493,-0.04257,-0.04173
1,0.998,0.1603,-0.04341,-0.04254
1,0.998,0.1712,-0.04421,-0.04332
1,0.998,0.1822,-0.04498,-0.04407
1,0.998,0.1932,-0.04571,-0.0448
1,0.998,0.2041,-0.0464,-0.0455
1,0.998,0.2151,-0.04706,-0.04617
1,0.998,0.2261,-0.04767,-0.04681
1,0.998,0.237,-0.04824,-0.04741
1,0.998,0.248,-0.04876,-0.04797
1,0.998,0.259,-0.04925,-0.0485
1,0.998,0.2699,-0.04968,-0.049
1,0.998,0.2809,-0.05007,-0.04945
1,0.998,0.2919,-0.0504,-0.04986
1,0.998,0.3028,-0.05069,-0.05022
1,0.998,0.3138,-0.05093,-0.05054
1,0.998,0.3248,-0.05111,-0.05082
1,0.998,0.3357,-0.05124,-0.05105
1,0.998,0.3467,-0.05132,-0.05122
1,0.998,0.3577,-0.05135,-0.05135
1,0.998,0.3686,-0.05132,-0.05142
1,0.998,0.3796,-0.05123,-0.05144
1,0.998,0.3906,-0.0511,-0.05141
1,0.998,0.4015,-0.0509,-0.05132
1,0.998,0.4125,-0.05065,-0.05117
1,0.998,0.4235,-0.05034,-0.05095
1,0.998,0.4344,-0.04998,-0.05068
1,0.998,0.4454,-0.04956,-0.05035
1,0.998,0.4563,-0.04909,-0.04994
1,0.998,0.4673,-0.04856,-0.04948
1,0.998,0.4783,-0.04798,-0.04894
1,0.998,0.4892,-0.04734,-0.04834
1,0.998,0.5002,-0.04665,-0.04766
1,0.998,0.5112,-0.04591,-0.04691
